Merged Comment
comment is It's so cool that even after 1070 chapters we still have loads to learn about some of the most interesting characters in the series with likes 677 with user_id @Patterrz and published  1 year ago
comment is I think Dragon and the army fled the scene when BB came because he is not their objective at this point in time. Fighting a full Yonko crew would have ended with too many casualties. And they need every person in their army for the day the war with the WG begins. It was a tactical retreat wich was the smartest move for them! with likes 339 with user_id @Ramonnnn and published  1 year ago
comment is I dont think nika possessed the nika fruit instead i think the nika fruit was born from peoples desire to have him back after his passing or to be him since he was such an influential figure with likes 113 with user_id @10da4 and published  1 year ago
comment is I think dragon is definitely the most mysterious with likes 562 with user_id @marcsethlungu322 and published  1 year ago
"comment is Wind logia would be the best for Dragon. “Weather manipulation” can be done by plenty of other fruits too, including a Wind Logia. And every pirate knows, if you control the wind, you control the seas. with likes 16 with user_id @NotTheWEJ and published  1 year ago"
"comment is well the ""killing observation haki"" - thing of shanks makes absolutly sense for me - we know you need to stay focused to use observation haki, but the pure presnce of Shanks let admirals shiver, let objectives break, you have marco saying: you have to stay focused just stay in his presence - how would you use observation haki when your whole body trembles of fear, or even if you are a yonko you still tremble out of excitement to fight such a worthy opponent with likes 160 with user_id @alexthielke and published  1 year ago"
"comment is I personally believe we're gonna see Dragon in egghead now. Maybe at the end of the arc, he will be the straw hats means of escape. But Dragon simply cannot pass up on the opportunity of a Gorosei leaving the holy lands. with likes 46 with user_id @deebo429__ and published  1 year ago"
comment is I swear you have one of the best editors. The way the person animates everything small you say (like the dodging of promotion by garp) is just so entertaining to me! with likes 1 with user_id @WishAAAProductions and published  1 year ago
comment is I think kaido and Yamato are awakened but uses their awakened power in hybrid form so they don’t get tired…luffy don’t have a hybrid form and that’s why he gets tired..make a video on luffy hybrid form …and love the content man you have literally unmatched energy with likes 50 with user_id @mykailbarkley6003 and published  1 year ago
"comment is Garp is literally called Garp the Fist. If that doesn't tell you he is ""These Hands"" Incarnate idk what will. Also it's already been confirmed that no one on the Red hair pirates ship has a DF with likes 11 with user_id @dwightsmith1123 and published  1 year ago (edited)"
comment is Love these theories i love these videos to keep up the good work❤ with likes 1 with user_id @ZeplmsSleepDeprived and published  1 year ago
"comment is Wait! I thought you were going to drop a video on this new chapter! Still good video, awesome content as always, but can't wait to hear your take on this new chapter! with likes 0 with user_id @douxhc and published  1 year ago"
"comment is So many amazing match ups are cooking up right now, shanks vs kidd, Blackbeard vs Law, Blackbeard and Garp, SH’s vs Kizaru/Saturn, Kuma at the Red Line and I’m sure oda is going to keep going here with his battle Royale with likes 11 with user_id @cethsui and published  1 year ago (edited)"
"comment is It took me years to realize that Oda was giving hints at Akaiunu being resistant to haki. In luffy's fight with katakuri, he used his future sight to shift his body out of the way of incoming damage, like a logia. with likes 52 with user_id @josesosa3337 and published  1 year ago"
comment is YO WSG. Keep up the most amazing and interesting videos! :D with likes 0 with user_id @tanjirokamado2178 and published  8 months ago
comment is i love the edit of this video. the animation and sound effects are fun. with likes 0 with user_id @bramwijayavid and published  1 year ago (edited)
comment is I think the simple explanation of why did Blackbeard could eat two devil fruits is because the darkness fruit sucked the soul of the other fruit with likes 18 with user_id @user-ci2sr9pc2d and published  1 year ago
